Easting,Northing,SampleID,species,Elev,blockid,coords.x1,coords.x2
385058.1062,3959249.431,FRM12,,,24,-106.2716175048,35.770587799
385157.1071,3959416.432,FRM13,,,24,-106.2705464339,35.7721047311
385100.1065,3959303.431,FRM14,,,24,-106.2711606996,35.7710794699
385281.1058,3959243.431,FRM15,,,1,-106.2691501142,35.7705597716
385075.1055,3959144.43,FRM16,,,24,-106.271414414,35.7696433014
385009.1044,3958935.429,FRM17,,,24,-106.2721144179,35.7677516327
385050.1046,3958989.429,FRM19,,,24,-106.2716686929,35.7682431884
385101.1028,3958701.427,FRM20,,,24,-106.2710633238,35.7656530817
385003.1041,3958893.429,FRM21,,,24,-106.2721747533,35.76737234
385098.1009,3958397.425,FRM22,,,24,-106.2710529241,35.7629124344
384958.1022,3958555.426,FRM23,,,24,-106.2726239452,35.7643202923
385023.6017,3958490.926,FRM24,,,24,-106.2718902758,35.7637465483
385089.1011,3958426.426,FRM26,,,24,-106.271156618,35.7631727996
385045.1007,3958338.425,FRM28,,,24,-106.2716306215,35.7623744075
385032.1007,3958341.425,FRM30,,,24,-106.2717748262,35.7623999294
384495.1132,3960294.437,FWH01,,,24,-106.2779953313,35.7799415084
384464.1129,3960227.437,FWH02,,,24,-106.2783285857,35.7793339234
384392.1123,3960114.436,FWH03,,,24,-106.279108729,35.7783068595
384351.1114,3959956.435,FWH04,,,24,-106.2795394465,35.7768778092
384408.1109,3959880.434,FWH05,,,24,-106.2788979726,35.7761994417
384410.1104,3959786.434,FWH08,,,24,-106.2788622851,35.7753523582
384496.1099,3959729.433,FWH09,,,24,-106.2779027945,35.7748486626
384612.1101,3959787.434,FWH10,,,24,-106.2766280447,35.7753851149
384600.1104,3959839.434,FWH11,,,24,-106.2767682718,35.7758524356
384591.1106,3959873.434,FWH12,,,24,-106.2768727229,35.7761578557
384563.1113,3959978.435,FWH14,,,24,-106.2771975743,35.7771010491
384549.1115,3960010.435,FWH15,,,24,-106.2773570484,35.7773878531
384620.1125,3960199.437,FWH16,,,24,-106.2765989016,35.7790998641
384710.1121,3960146.436,FWH17,,,24,-106.2755957068,35.7786326769
384718.1123,3960179.436,FWH18,,,1,-106.2755119622,35.7789310789
384775.112,3960140.436,FWH19,,,1,-106.2748758279,35.7785862183
384893.1107,3959956.435,FWH20,,,1,-106.2735440968,35.7769414572
